X,org,req,grant,schoolyr,deny,prop_grant,bipoc,community
94,Duke University Cricket Club,1000,680,2019-2020,320,0.68,N,Non-BIPOC
95,Asian American Alliance,1100,672,2019-2020,428,0.610909090909091,Y,Asian
96,Duke Association for Greater Gaming Education and Recreation,1030.5,602.5,2019-2020,428,0.584667637069384,N,Non-BIPOC
97,J Street U Duke,1150,595,2019-2020,555,0.517391304347826,N,Non-BIPOC
98,Duke Raas,995,590,2019-2020,405,0.592964824120603,Y,Asian
99,International Association,1760,580,2019-2020,1180,0.329545454545455,Y,Multicultural group
100,Duke Fashion Exchange,1205,560,2019-2020,645,0.464730290456432,N,Non-BIPOC
101,Gente Aprendiendo para Nuevas Oportunidades,920,560,2019-2020,360,0.608695652173913,Y,Latinx
102,Future is Now,1200,550,2019-2020,650,0.458333333333333,N,Non-BIPOC
103,Hear at Duke,806.6,534.9,2019-2020,271.7,0.663153979667741,N,Non-BIPOC
104,Department Of,940,525,2019-2020,415,0.558510638297872,N,Non-BIPOC
105,Adopt A Grandparent,900,500,2019-2020,400,0.555555555555556,N,Non-BIPOC
106,Project HEAL: Health Education and Awareness in Latin America,1601.8,500,2019-2020,1101.8,0.312148832563366,N,Non-BIPOC
107,Duke Sleight Club,980,495,2019-2020,485,0.505102040816326,N,Non-BIPOC
108,Girls Engineering Change,1744,485,2019-2020,1259,0.278096330275229,N,Non-BIPOC
109,Duke German Club,900,450,2019-2020,450,0.5,N,Non-BIPOC
110,The Wild Ones,956.35,436.35,2019-2020,520,0.456266011397501,N,Non-BIPOC
111,Duke Plants and Botany Connections,790.5,430.5,2019-2020,360,0.544592030360531,N,Non-BIPOC
112,McKids,720,420,2019-2020,300,0.583333333333333,N,Non-BIPOC
113,Students of the Caribbean Association,2400,405,2019-2020,1995,0.16875,Y,Other BIPOC group
114,Duke Africa,5590,400,2019-2020,5190,0.0715563506261181,Y,Black
115,Freshly Squeezed Pulp,994,394,2019-2020,600,0.396378269617706,N,Non-BIPOC
116,Duke Platform Tennis Association,375,375,2019-2020,0,1,N,Non-BIPOC
117,Pakistani Students Association,650,375,2019-2020,275,0.576923076923077,Y,Asian
118,Peer Advocacy for Sexual Health,1460,360,2019-2020,1100,0.246575342465753,N,Non-BIPOC
119,Duke Ethiopian/Eritrean Student Transnational Association,900,310,2019-2020,590,0.344444444444444,Y,Black
120,Student Organization Finance Committee,480,300,2019-2020,180,0.625,N,Non-BIPOC
121,WISER Duke,1000,300,2019-2020,700,0.3,N,Non-BIPOC
122,Desarrolla,600,295,2019-2020,305,0.491666666666667,Y,Latinx
123,Duke PAWS,550,280,2019-2020,270,0.509090909090909,N,Non-BIPOC
124,Harmonies for Health at Duke,645,260,2019-2020,385,0.403100775193798,N,Non-BIPOC
125,Duke Student Global Health Review,250,250,2019-2020,0,1,N,Non-BIPOC
126,Black Women's Union,400,250,2019-2020,150,0.625,Y,Black
127,NeuroCare,450,200,2019-2020,250,0.444444444444444,N,Non-BIPOC
128,Environmental Alliance,1125,200,2019-2020,925,0.177777777777778,N,Non-BIPOC
129,Duke Students Against Gender Violence,600,150,2019-2020,450,0.25,N,Non-BIPOC
130,Eastern European Association at Duke,305,105,2019-2020,200,0.344262295081967,N,Non-BIPOC
131,ArtsConnect,205,100,2019-2020,105,0.48780487804878,N,Non-BIPOC
132,Duke Disability Alliance,2666,100,2019-2020,2566,0.0375093773443361,N,Non-BIPOC
133,Duke Climate Coalition,300,0,2019-2020,300,0,N,Non-BIPOC
134,Duke Political Union,650,0,2019-2020,650,0,N,Non-BIPOC
135,Sustainable Ocean Alliance ,200,0,2019-2020,200,0,N,Non-BIPOC
136,Duke University She's The First,2100,0,2019-2020,2100,0,N,Non-BIPOC
137,Phi Delta Epsilon International Medical Fraternity,19800,0,2019-2020,19800,0,N,Non-BIPOC
138,Duke Academy of Model Aeronautics ,5425,0,2019-2020,5425,0,N,Non-BIPOC
139,Peer for You,4030,0,2019-2020,4030,0,N,Non-BIPOC
140,"Kappa Alpha Psi Fraternity, Inc.",3355,0,2019-2020,3355,0,Y,Black
141,Know Your Status,1095,0,2019-2020,1095,0,N,Non-BIPOC
142,Duke Student Government,11960,0,2019-2020,11960,0,N,Non-BIPOC
143,Duke Chinese Student Association,10524,0,2019-2020,10524,0,Y,Asian
144,Illyria House,1000,0,2019-2020,1000,0,N,Non-BIPOC
145,Deja Blue,2510,0,2019-2020,2510,0,N,Non-BIPOC
146,Spoken Verb,7776,0,2019-2020,7776,0,N,Non-BIPOC
147,Neuroscience Majors' Union,400,0,2019-2020,400,0,N,Non-BIPOC
148,United in Praise,2150,0,2019-2020,2150,0,Y,Black
149,Arts Annex Student Advisory Board,2450,0,2019-2020,2450,0,N,Non-BIPOC
150,Planned Parenthood Generation Action Duke,390,0,2019-2020,390,0,N,Non-BIPOC
151,Duke Latter-day Saint Student Association,146.75,0,2019-2020,146.75,0,N,Non-BIPOC
152,Duke Student Government,3000,0,2019-2020,3000,0,N,Non-BIPOC
153, Duke Student Government Legal Fund ,7000,7000,2020-2021,0,1,N,Non-BIPOC
154,Adopt A Grandparent,528,433,2020-2021,95,0.820075757575758,N,Non-BIPOC
155,"Alpha Kappa Alpha Sorority, Inc.",14073,5580,2020-2021,8493,0.396503943722021,Y,Black
156,"Alpha Phi Alpha Fraternity, Inc.",6825,2070,2020-2021,4755,0.303296703296703,Y,Black
157,Alpha Pi Omega Sorority Inc.,1460,380,2020-2021,1080,0.26027397260274,N,Non-BIPOC
158,Amnesty International,625,250,2020-2021,375,0.4,N,Non-BIPOC
159,Asian American Alliance,3021,1400,2020-2021,1621,0.463422707712678,Y,Asian
160,Asian Students Association,2650,1370,2020-2021,1280,0.516981132075472,Y,Asian
161,Audacity Labs ,609.74,406,2020-2021,203.74,0.665857578640076,N,Non-BIPOC
162,Black Student Alliance,17630,430,2020-2021,17200,0.024390243902439,Y,Black
163,Blue Devils United,7635,5540,2020-2021,2095,0.725605762933857,N,Non-BIPOC
164,Center for Race Relations,1675,0,2020-2021,1675,0,N,Non-BIPOC
165,CHANCE Tutoring,500,500,2020-2021,0,1,N,Non-BIPOC
166,Community Empowerment Fund,2200,1250,2020-2021,950,0.568181818181818,N,Non-BIPOC
167,Dance Council ,12060,10660,2020-2021,1400,0.883913764510779,N,Non-BIPOC
168,Define American,1000,800,2020-2021,200,0.8,Y,Non-BIPOC
169,Deja Blue,2250,1150,2020-2021,1100,0.511111111111111,N,Non-BIPOC
170,"Delta Sigma Theta Sorority, Inc.",6100,2000,2020-2021,4100,0.327868852459016,Y,Black
171,Department Of,390,0,2020-2021,390,0,N,Non-BIPOC
172,Desarrolla,2884,450,2020-2021,2434,0.156033287101248,Y,Latinx
173,Devils en Pointe,6182,2715,2020-2021,3467,0.439178259462957,N,Non-BIPOC
174,duARTS,13650,2900,2020-2021,10750,0.212454212454212,N,Non-BIPOC
175,Duke Amandla Chorus,5800,500,2020-2021,5300,0.0862068965517241,Y,Black
176,Duke Applied Machine Learning Group,1600,1000,2020-2021,600,0.625,N,Non-BIPOC
177,Duke Archery Club,5500,1820,2020-2021,3680,0.330909090909091,N,Non-BIPOC
